"symbol","name","stockPrice","peRatio","marketCapitalization","divYield","revenueGrowth3yr","incomeGrowth3yr"
"FLM:CNX","First Lithium Minerals Corp",0.065,,5926447.74,,,
"PNGA:CNX","Pangea Natural Foods Inc",0.18,,5105700.18,,,
"SLNG:CNX","SLANG Worldwide Inc",0.05,,4135689,,16.54,
"SEAG:CNX","Seahawk Gold Corp",0.135,,4939301.16,,,
"THC:CNX","THC Biomed International Ltd",0.03,,4918156.68,,1.57,
"GDIG:CNX","Gold Digger Resources Inc",0.35,,5025650,,,
"KCL:CNX","American Potash Corp",0.07,,4880011.43,,,
"CAKE.WT:CNX","Radio Fuels Energy Corp Warrants (06/12/2026)",0.035,72.4,4869402.51,,,
"SPOD:CNX","Spod Lithium Corp",0.1,,5046871.5,,,
"JKPT:CNX","Kings Entertainment Group Inc",0.075,,5134762.5,,,
"STEM:CNX","Stem Holdings Inc",0.02,,4717088.16,,44.34,
"GBC:CNX","GreenBank Capital Inc",0.04,4.7,4710840.04,,-100,
"BYT:CNX","BYT Holdings Ltd",0.045,,4684843.71,,-22.84,
"HS.WT.A:CNX","HS GovTech Solutions Inc Warrants (02/03/2026)",0.1,,4644181.5,,32.93,
"AIML:CNX","AI/ML Innovations Inc",0.11,,4862607.2,,,
"CCR:CNX","Green River Gold Corp",0.045,,4636904.09,,,
"MIRL:CNX","Minera IRL Ltd",0.02,,4622700.56,,5.22,
"CMND:CNX","Clearmind Medicine Inc",0.6,,4260188.4,,,
"GGC:CNX","Generic Gold Corp",0.055,,3613505.5,,,
"TEMP:CNX","Tempus Capital Inc.",0.145,9.37,4419453.99,34.48275862068966,6.58,
"M:CNX","Myriad Uranium Corp",0.17,,4843576.76,,,
"BYFM:CNX","Sprout AI Inc",0.05,,4548240.3,,,
"BHNG:CNX","Bhang Inc (Sub Voting)",0.02,,4546046.82,,2.82,
"TNY:CNX","Tinley Beverage Co Inc",0.03,,4525786.95,,159.32,
"VIBE:CNX","Vibe Growth Corporation",0.04,,4475722.84,,-0.66,
"MOC:CNX","Mosaic Minerals Corp",0.065,,4469274.62,,,
"WGC:CNX","Winston Gold Corp",0.01,,4456905.27,,,
"BETS:CNX","i3 Interactive Inc",0.02,,4448716.16,,,
"SPEY:CNX","Spey Resources Corp",0.04,,4440867.68,,,
"DCSI:CNX","Direct Communication Solutions Inc",1.92,,4425751.68,,2.35,
"CUBE:CNX","Saltbae Capital Corp",0.025,,4421306,,,
"NOVA:CNX","Nova Mentis Life Science Corp",0.03,,4413559.8,,-100,
"IP:CNX","ImagineAR Inc",0.02,,4342720.66,,,
"SQX:CNX","Squatex Energy and Ressources Inc.",0.035,,4334772.96,,,
"MICH.X:CNX","Mich Resources Ltd",0.1,,4307660.2,,,
"GLOW:CNX","Glow LifeTech Corp",0.075,,4283140.95,,,
"WPN:CNX","First Responder Technologies Inc",0.42,,4258533.72,,,
"ERTH.WT:CNX","EarthRenew Inc Warrants (21/06/2026)",0.03,,4256512.86,,270.66,
"LFNT:CNX","LFNT Resources Corp",0.205,,4226485.21,,,
"SANU:CNX","Sanu Gold Corp",0.06,,4167182.28,,,
"ATCM:CNX","Atco Mining Inc",0.12,,3980343,,,
"LLP:CNX","LeanLife Health Inc",0.02,,4142121.54,,,
"PERK:CNX","Perk Labs Inc",0.01,,4118469.18,,-6.66,
"NSG:CNX","Northstar Gold Corp",0.055,,4106208.76,,,
"NVLI:CNX","Nova Lithium Corp",0.2,,4087420,,,
"BTC:CNX","Bluesky Digital Assets Corp",0.035,,4038187.86,,51.62,
"QNI:CNX","Quebec Nickel Corp",0.035,,4037047.18,,,
"ARM:CNX","Armada Mercantile Ltd.",0.5,49.92,9552204.5,,92.91,
"RVR:CNX","Rift Valley Resources Corp",0.05,,4005443.25,,,
"HSLV:CNX","Highlander Silver Corp",0.065,,3959856.36,,,
"PKG:CNX","ParcelPal Logistics Inc",0.02,,3927491.82,,40.35,
"MM:CNX","Metallica Metals Corp",0.17,,3917598.49,,,
"AYUR:CNX","Ayurcann Holdings Corp",0.025,,3888471.58,,,
"URM:CNX","First American Uranium Inc",0.175,,3669761.9,,,
"GRHK:CNX","Greenhawk Resources Inc",0.03,,2585974.86,,,
"AIG:CNX","Genesis AI Corp",0.145,1.7,4009440.68,,,
"SXTY:CNX","Sixty North Gold Mining Ltd",0.14,,3870137.32,,,
"GSK:CNX","Goldseek Resources Inc",0.065,,3830658.26,,,
"EONX:CNX","Eonx Technologies Inc",0.1,,3817579.1,,,
"LLM:CNX","Lithium Lion Metals Inc",0.045,,3762741.87,,,
"AUOZ:CNX","Emperor Metals Inc",0.065,,3489461.69,,,
"IC:CNX","IC Capitalight Corp",0.04,36.51,3719428.6,,62.48,
"RSH:CNX","Rush Rare Metals Corp",0.1,,3687000,,,
"CMET:CNX","Clarity Metals Corp",0.08,,3683822.16,,,
"MY:CNX","Montego Resources Inc",0.1,,3681452.7,,,
"CTOC:CNX","C2C Gold Corp",0.035,,3678496.61,,,
"GABY:CNX","Gaby Inc",0.005,,3623151.87,,45.86,
"AFX:CNX","Arctic Fox Lithium Corp",0.125,,3434177,,,
"PHRX:CNX","Pharmadrug Inc",0.01,,3556263.46,,-28.75,
"MML:CNX","Moonbound Mining Ltd",0.23,,3515067.69,,,
"FREE:CNX","Free Battery Metal Limited",0.055,,3856181.84,,,
"AICO:CNX","Generative AI Solutions Corp",0.8,0.05,3787617.6,,,
"EPW:CNX","Empower Clinics Inc",0.04,,3501573.6,,31.95,
"SIX:CNX","Sixty Six Capital Inc",0.025,0.14,3493521.43,,-100,
"SPIR:CNX","Spirit Blockchain Capital Inc",0.03,,2574510,,,
"IKNK.U:CNX","Pideka Group Inc (Sub Voting)",0.025,,3418851.65,,,
"PLUG:CNX","Energy Plug Technologies Corp",0.135,,4834050.3,,-100,
"RXM:CNX","Rockex Mining Corporation",0.025,,3342183.53,,,
"HARY:CNX","Harrys Manufacturing Inc",0.035,,3336764.41,,,
"ORGN:CNX","Origen Resources Inc - New",0.075,1.63,3324649.05,,,
"APP:CNX","Global Compliance Applications Corp",0.01,,2215847.72,,,
"UDI:CNX","Umdoni Exploration Inc",0.37,,3318696.13,,,
"CCC:CNX","Carlyle Commodities Corp",0.11,,3013720.27,,,
"TMIN:CNX","Teako Minerals Corp",0.07,,3264970.38,,,
"PBF:CNX","Planet Based Foods Global Inc (Sub Voting)",0.055,,3257937.49,,,
"LQID:CNX","Liquid Avatar Technologies Inc",0.02,,3245849.46,,-44.99,
"EPR:CNX","E-Power Resources Inc",0.14,,3238572.68,,,
"SURE:CNX","SureNano Sciences Ltd",0.15,,3218670,,,
"EOM:CNX","Eco Oro Minerals Corp",0.04,,4260998.12,,,
"MANN:CNX","Manning Ventures Inc",0.03,,2722469.01,,,
"CAMP:CNX","Canadian GoldCamps Corp",0.25,,3174416.75,,,
"J:CNX","Lotus Ventures Inc",0.035,,3148942.97,,-15.86,
"TMED:CNX","EGF Theramed Health Corp",0.3,,3147348.3,,,
"DMED:CNX","Diagnamed Holdings Corp",0.04,,3135705.6,,,
"TGII:CNX","Trojan Gold Inc",0.08,,3127954.64,,,
"HMBL:CNX","Humble & Fume Inc",0.02,,2483361.2,,,
"LOBE:CNX","Lobe Sciences Ltd",0.02,,3102723.44,,-100,
"NDAT:CNX","nDatalyze Corp",0.07,,2709869.75,,-38.8,
"MSVN:CNX","ManifestSeven Holdings Corp - Class A",0.02,,3096898.06,,,
"NBRK:CNX","New Break Resources Ltd",0.075,,3073931.25,,,
"SNR:CNX","79 Resources Ltd",0.03,,3065460.03,,,
"VR:CNX","Victory Battery Metals Corp",0.04,,3063807.04,,,
"NIRV:CNX","Nirvana Life Sciences Inc",0.09,,3062970.9,,,
"HERC:CNX","Hercules Resources Corp",0.2,,3050000.2,,,
"ALE:CNX","Alerio Gold Corp",0.03,,3036924.81,,,
"GBMC:CNX","Green Block Mining Corp",0.05,,2992755.35,,149.56,
"TRG:CNX","Tarachi Gold Corp",0.025,,2981295.25,,,
"NARA:CNX","PanGenomic Health Inc",0.035,,3476485.92,,,
"JBR:CNX","James Bay Resources Ltd",0.055,,2970773.74,,,
"VTI:CNX","Valdor Technology International Inc",0.045,,2966491.49,,1.89,
"AETH:CNX","Aether Global Innovations Corp.",0.05,,2965873.05,,188.49,
"ATHR:CNX","Aether Catalyst Solutions Inc",0.055,,2951178.67,,,
"NICO:CNX","Class 1 Nickel and Technologies Limited",0.02,,2944100.52,,,
"GWS:CNX","Global Wellness Strategies Inc",0.075,,2929659.75,,74.93,
"SWIM:CNX","SWMBRD Sports Inc",0.035,,2903495,,,
"BIOV:CNX","BioVaxys Technology Corp",0.02,,2902236.42,,,
"MOSS:CNX","Moss Genomics Inc",0.065,,2894255,,,
"SF:CNX","Silverfish Resources Inc",0.2,,2870000,,,
"EMIN:CNX","Spark Energy Minerals Inc",0.2,,2862406.8,,,
"SRS:CNX","Sorrento Resources Ltd",0.19,,2859683.54,,,
"RGLD:CNX","Red Lake Gold Inc - Class A",0.08,,2859133.52,,,
"HML:CNX","Heritage Mining Ltd",0.075,,2794521.38,,,
"UGH:CNX","Uriel Gas Holdings Corp",0.04,,2794516,,,
"FIT:CNX","Koios Beverage Corp",0.035,,2791177.97,,2.96,
"TCF.WT:CNX","Trillion Energy International Inc Warrants (29/06/2025)",0.075,,2419350,,184.27,
"VRAR:CNX","XR Immersive Tech Inc",0.03,,2734309.23,,,
"ADMT:CNX","Adamant Holding Inc",0.02,,2728109.78,,-0.36,
"LOTA:CNX","Delota Corp",0.095,9.68,2546913.43,,297.3,
"BCBC:CNX","BC Bud Corporation (The)",0.055,,2940881.08,,,
"ZTE:CNX","Ztest Electronics Inc Redeemable Shares - Class A",0.1,,2668719.6,,-3.48,
"CFT:CNX","Craftport Cannabis Corp",0.045,,2654610.44,,-28.69,
"PPB:CNX","Pure to Pure Beauty Inc",0.075,,3980766.15,,,
"BRAX:CNX","Braxia Scientific Corp",0.01,,2637089.39,,1713.33,
"STWO:CNX","S2 Minerals Inc",0.07,,2615293.45,,,
"ETR:CNX","Etruscus Resources Corp",0.06,,2606121.66,,,
"NPRA:CNX","Nepra Foods Inc (Sub Voting)",0.045,,2332428.71,,,
"QIMC:CNX","Quebec Innovative Materials Corp",0.035,,2586815.04,,,
"SPTZ:CNX","Spetz Inc",0.005,,2572075.06,,73.54,
"ARGO:CNX","Argo Living Soils Corp",0.12,,2565156.12,,,
"PATH:CNX","Newpath Resources Inc",0.185,,2926283.75,,,
"HYTN:CNX","HYTN Innovations Inc",0.05,,3112991.85,,,
"STK:CNX","Silverstock Metals Inc",0.13,,2483000.13,,,
"SENS:CNX","Sensor Technologies Corp",0.01,28.28,2478017.64,,136.89,
"ELEM:CNX","Element79 Gold Corp",0.03,,3716244.9,,,
"ESAU:CNX","ESGold Corp",0.015,,3712464.93,,,
"TCEC:CNX","Tisdale Clean Energy Corp",0.145,,2387831.87,,,
"VSBY.WT.B:CNX","VSBLTY Groupe Technologies Corp Warrants (28/07/2025)",0.01,,2466274.08,,8.35,
"VSBY.WT.A:CNX","VSBLTY Groupe Technologies Corp Warrants (29/06/2024)",0.01,,2466274.08,,8.35,
"CSQ:CNX","Canamex Gold Corp",0.04,,2459842.04,,,
"OMND:CNX","Optimind Pharma Corp",0.025,,2450299.78,,,
"IPOT:CNX","Isracann Biosciences Inc",0.015,,2444545.77,,-100,
"LEXT:CNX","Lexston Life Sciences Corp",0.08,,2424733.36,,,
"MNG:CNX","Mongoose Mining Ltd",0.075,,2411272.13,,,
"CBP:CNX","Certive Solutions Inc",0.015,,2408663.64,,8.17,
"DEME:CNX","Demesne Resources Ltd",0.17,,2381698.98,,,
"WIFI:CNX","American Aires Inc",0.015,,2381346.8,,78.25,
"NF:CNX","Nuclear Fuels Inc",0.43,,2379147.43,,,
"FONE.WT.B:CNX","Flower One Holdings Inc Warrants (18/09/2023)",0.005,,2365494.55,,221.11,
"NEWD:CNX","Newfoundland Discovery Corp",0.03,,2779300.71,,,
"CHOO:CNX","Choom Holdings Inc.",0.005,,2334865.71,,679.77,
"XSF:CNX","XS Financial Inc (Sub Voting)",0.03,,2331841.32,,81.82,
"AGN:CNX","Algernon Pharmaceuticals Inc - Class A",0.16,,2328121.12,,,
"PRUD:CNX","Prudent Minerals Corp",0.07,,2304890,,,
"FONE:CNX","Flower One Holdings Inc",0.005,,2365494.55,,221.11,
"POLE:CNX","Polaris Northstar Capital Corp",0.035,,2264055.85,,-100,
"CBDN:CNX","CBD Global Sciences Inc",0.045,,2225548.08,,-26.87,
"GRUV:CNX","Weekapaug Lithium Limited",0.03,-44.8,2217605.19,,,
"AION:CNX","Aion Therapeutic Inc",0.015,,2209489.04,,,
"GGLD:CNX","General Copper Gold Corp",0.045,,2207360.52,,,
"CK:CNX","Cascadia Blockchain Group Corp",0.03,,2201300.76,,,
"CEG:CNX","Cerro Grande Mining Corp",0.005,,2181319.58,,,
"MARY:CNX","Mary Agrotechnologies Inc",0.05,,2161396.2,,,
"HERB:CNX","Herbal Dispatch Inc",0.005,,2159364.66,,,
"BVOF.A:CNX","B.E.S.T. Venture Opportunities Fund Inc - Class A, Series I",2.11,,2154489.35,,,
"OMIC:CNX","Optima Medical Innovations Corp",0.045,,2137505.9,,46.47,
"CRS:CNX","Crestview Exploration Inc",0.075,,2136656.1,,,
"CASC:CNX","Cascade Copper Corp",0.08,,2136448.56,,,
"LION:CNX","Global Li-Ion Graphite Corp",0.03,,2069406.48,,,
"VBN:CNX","Pedro Resources Ltd",0.065,,2067950.95,,,
"BATX:CNX","Battery X Metals Inc",0.08,,2061489.68,,,
"XRA:CNX","XRApplied Technologies Inc",0.03,,2056337.52,,,
"STAR:CNX","Starmet Ventures Inc",0.125,,2054596.75,,,
"TCC:CNX","Trenchant Capital Corp",0.06,,2052677.16,,-100,
"TGLD:CNX","Torrent Gold Inc",0.1,,2044519.3,,,
"GOR:CNX","Goldrea Resources Corporation",0.025,,2041886.08,,,
"RDRS:CNX","RDARS Inc",0.12,,2126554.2,,,
"AWR:CNX","Aurwest Resources Corporation",0.02,,2014432.64,,,
"POKO:CNX","Poko Innovations Inc",0.025,,2005039.05,,,
"PDFI:CNX","Prophecy DeFi Inc.",0.015,,1982208.18,,,
"WIB:CNX","West Island Brands Inc",0.13,,1964173.77,,,
"GTTX:CNX","GeneTether Therapeutics Inc",0.04,,1950872.76,,,
"DELT:CNX","Delta Cleantech Inc",0.03,,1914693,,,
"SHFT:CNX","ShiftCarbon Inc",0.035,,1837423.21,,,
"AVM.X:CNX","Avarone Metals Inc",0.02,,1828293.22,,,
"BURY:CNX","Burrell Resources Inc.",0.105,,1827034.97,,,
"OMGA:CNX","Omega Pacific Resources Inc",0.17,,3448110.17,,,
"TUGA:CNX","Tuga Innovations Inc",0.04,,1819600.16,,,
"IMCX:CNX","Interra Copper Corp",0.245,,2117638.88,,,
"ASHL:CNX","Ashley Gold Corp",0.09,,1738833.75,,,
"GHG:CNX","Global Hemp Group Inc.",0.005,,1791466.96,,-100,
"GHG.WT:CNX","Global Hemp Group Inc. Warrants (08/09/2023)",0.005,,1791466.96,,-100,
"CRIV:CNX","Carson River Ventures Corp",0.08,,1679600,,,
"TONY:CNX","Tony G Co-Investment Holdings Ltd",0.25,,1783349.5,,,
"CVGR:CNX","City View Green Holdings Inc",0.005,,1730439.8,,,
"MHY.UN:CNX","Marret High Yield Strategies Fund Unit - Class A",0.025,13.1,1718975,,,
"AOC:CNX","Advantagewon Oil Corp.",0.035,,1715250.53,,-100,
"AFF:CNX","Affinity Metals Corp",0.035,,1675035.78,,,
"TRUE:CNX","Treatment.com International Inc",0.25,,1655487.25,,,
"HWTN:CNX","Hawthorn Resources Corp",0.105,,1649550,,,
"FZ:CNX","Forza Lithium Corp",0.09,,1644750,,,
"LAND:CNX","Cumberland Resources Nickel Corp",0.025,,1640260.63,,,
"BDR:CNX","Bird River Resources Inc",0.09,,1637267.49,,,
"CURE:CNX","Biocure Technology Inc",0.02,,1632073.04,,-100,
"CODE:CNX","Cypher Metaverse Inc",0.11,,1712909.66,,-43.25,
"MBLM:CNX","Mobilum Technologies Inc",0.01,,1608781.38,,91.32,
"IGLD:CNX","Golden Independence Mining Corp",0.22,,1599920.08,,,
"GRAY:CNX","Graycliff Exploration Limited",0.05,,1760983.75,,,
"BLR:CNX","Blackhawk Growth Corp - New",0.02,,1559911.86,,,
"FUTR:CNX","Gold n Futures Mineral Corp",0.01,,1718562.42,,,
"PXE:CNX","P2Earn Inc",0.025,,1551856,,-78.99,
"LLL:CNX","Lanebury Growth Capital Ltd",0.15,13.32,1548120.45,,,
"WSR:CNX","Western Star Resources Inc",0.12,,1367520,,,
"GOCO:CNX","Go Metals Corp",0.06,,1532970.24,,,
"SHP:CNX","Shoal Point Energy Ltd",0.03,,1527047.49,,,
"WAY:CNX","Way of Will Inc - Class A",0.035,,1494688.55,,,
"AUHI:CNX","Advance United Holdings Inc",0.025,,1231222.65,,,
"ENBI:CNX","Entheon Biomedical Corp",0.025,,1477231.65,,,
"CRES:CNX","Crest Resources Inc",0.045,,1886130.32,,8.44,
"SGRO:CNX","Sierra Grande Minerals Inc",0.05,,1465560.75,,,
"GPO:CNX","Gold Port Corporation",0.03,,1458931.95,,,
"VTAL:CNX","Justera Health Ltd",0.03,,3563167.41,,,
"GCA.X:CNX","Gencan Capital Inc",0.09,,1448305.56,,-100,
"NOP:CNX","Nevada Organic Phosphate Inc",0.04,,1446723.12,,,
"NXU.X:CNX","Nexco Resources Inc",0.04,-2.1,1434506.64,,,
"SILO:CNX","Silo Wellness Inc",0.01,,1434022.71,,,
"VEGI:CNX","Boosh Plant-Based Brands Inc",0.015,,1428708.08,,,
"RKL:CNX","Rockland Resources Ltd",0.05,,1575322.4,,,
"NLV:CNX","New Leaf Ventures Inc",0.085,,1505262.37,,,
"QMET:CNX","Q Battery Metals Corp",0.035,,1652727.97,,,
"ARO:CNX","Armadillo Resources Ltd",0.015,,1414228.82,,,
"ORIG:CNX","Origin Therapeutics Holdings Inc",0.025,,1414075,,,
"CRPC:CNX","Critical Reagent Processing Corp",0.025,,1758076.63,,,
"PNGC:CNX","PNG Copper Inc",0.01,,1405313.68,,,
"MYND:CNX","MYND Life Sciences Inc",0.03,,1404515.46,,,
"REZN:CNX","Hash Corporation (The)",0.005,,1402248.71,,,
"MEGA:CNX","MegaWatt Lithium and Battery Metals Corp",0.16,,1481397.12,,,
"CGII:CNX","CleanGo Innovations Inc",0.55,,1400565.65,,,
"HVW:CNX","Hi-View Resources Inc",0.055,,1280427.5,,,
"CALM:CNX","Revitalist Lifestyle and Wellness Ltd (Sub Voting)",0.02,,1371412.62,,,
"SIXW:CNX","Sixth Wave Innovations Inc",0.01,,1370774.72,,,
"BLNT:CNX","Blanton Resources Corp",0.11,,1366750,,,
"SLZ:CNX","Slave Lake Zinc Corp",0.025,,1353180.25,,,
"BEAN:CNX","Peekaboo Beans Inc",0.02,,1345278.24,,-34.31,
"DEEP:CNX","DeepRock Minerals Inc",0.01,,893405.8,,,
"XBLK.X:CNX","eXeBlock Technology Corp",0.025,,1338475.78,,,
"UP:CNX","UpSnap Inc",0.005,,1338204.71,,-18.2,
"ADX:CNX","Advantex Marketing International, Inc.",0.005,,1326962.54,,-46.69,
"EBR:CNX","Eagle Bay Resources Corp",0.025,,1321363.15,,,
"GEMS:CNX","Infinity Stone Ventures Corp - Class A (Sub Voting)",0.03,,1319254.62,,,
"LUXX:CNX","Luxxfolio Holdings Inc",0.015,,1300769.16,,,
"MUSK:CNX","Musk Metals Corp",0.055,,1187657.68,,,
"CSS:CNX","Cascada Silver Corp",0.02,,1293202,,,
"BJB:CNX","Bond Resources Inc",0.01,,1277002.76,,,
"ABRT:CNX","Albert Labs International Corp",0.02,,1273438.7,,,
"GRM:CNX","Great Republic Mining Corp",0.075,,1260750.08,,,
"XRI:CNX","Xcite Resources Inc.",0.1,,1398000,,,
"WMC:CNX","Westmount Minerals Corp",0.05,,1241700.05,,,
"FDM:CNX","Fandifi Technology Corp",0.015,,1231577,,,
"WEST:CNX","West Mining Corp.",0.02,,1219246.24,,,
"STPH:CNX","Steep Hill Inc",0.005,,1214223.05,,,
"TEAM:CNX","Canadian Nexus Team Ventures Corp",0.135,,1211850.99,,,
"OPC:CNX","Organic Potash Corp",0.01,,1211249.61,,,
"AMPD:CNX","AMPD Ventures Inc",0.01,,1203333.39,,32.52,
"CUH:CNX","Copperhead Resources Inc",0.1,,1182370,,,
"TRIP.WT:CNX","Red Light Holland Corp Warrants (28/07/2024)",0.015,,1170309.62,,,
"PULL:CNX","Pure Extracts Technologies Corp",0.01,,1167668.11,,,
"SPS:CNX","Sweet Poison Spirits Inc",0.025,,1167537.53,,,
"REDG:CNX","Rock Edge Resources Ltd",0.045,,1142062.52,,,
"CRFT:CNX","BC Craft Supply Co. Ltd",0.5,,1138228,,-14.41,
"IME:CNX","Imagin Medical Inc",0.105,,1137162.18,,,
"SLO:CNX","Starlo Ventures Ltd",0.08,,1131760,,,
"BRCO:CNX","Buscando Resources Corp",0.08,,1126720.08,,,
"SUPR:CNX","Supernova Metals Corp. - Class A",0.11,,1125918.64,,-100,
"PRTI:CNX","PR Technology Inc",0.1,,1125600,,,
"BIO:CNX","Biome Grow Inc",0.01,,1124174.35,,,
"UX:CNX","Puranium Energy Ltd",0.06,,1101366.96,,,
"ACRE:CNX","American Critical Elements Inc",0.1,,1099925.4,,,
"RMES:CNX","Red Metal Resources Ltd",0.02,,1097332.5,,,
"CRCL:CNX","Corcel Exploration Inc",0.05,,1087500,,,
"TCAN:CNX","Transcanna Holdings Inc.",0.01,,1086742,,,
"MUZU:CNX","Muzhu Mining Ltd",0.045,,1219730.81,,,
"HMPS:CNX","Hempsana Holdings Ltd",0.02,,1082586.46,,,
"SASQ:CNX","Sasquatch Resources Corp",0.06,,1074240,,,
"JQ:CNX","79North Inc",0.01,,1073472.41,,,
"GCP:CNX","Golcap Resources Corp",0.075,,1073338.13,,,
"IBH:CNX","Indigenous Bloom Hemp Corp",0.015,,1067039.54,,,
"PMS:CNX","Prisma Exploration Inc",0.15,,1074135.15,,,
"LIDA:CNX","Lida Resources Inc",0.38,,1052278.9,,,
"MYR:CNX","Meryllion Resources Corp",0.035,,1046130.93,,,
"BOLT:CNX","Bolt Metals Corp",0.47,,1040133.5,,,
"EMRG:CNX","Emergence Global Enterprises Inc",0.05,,1034098.55,,,
"WESA.X:CNX","Wesana Health Holdings Inc (Sub Voting)",0.05,,1031688.5,,,
"EDGM:CNX","Edgemont Gold Corp",0.06,,1025297.64,,,
"EATS:CNX","Eat & Beyond Global Holdings Inc",0.06,,1023821.7,,214.02,
"RED:CNX","Big Red Mining Corp",0.04,,1019580,,,
"SCM:CNX","Steadright Critical Minerals Inc",0.075,,1017039.75,,,
"QQ:CNX","Quizam Media Corp",0.03,,998330.34,,98.8,
"EPY:CNX","ePlay Digital Inc",0.015,,1484487.29,,1.78,
"PS:CNX","PowerStone Metals Corp",0.035,,988779.16,,,
"MAKA:CNX","Makara Mining Corp",0.02,,983734.62,,,
"TMAS:CNX","Temas Resources Corp",0.1,,983238.6,,,
"MLCL:CNX","Molecule Holdings Inc",0.01,,977819.03,,,
"SNOW:CNX","Snowy Owl Gold Corp",0.03,,975630,,,
"LP:CNX","Leopard Lake Gold Corp",0.02,,429800.02,,,
"OBRN:CNX","Oberon Uranium Corp - Class A",0.03,,722925,,,
"MJMJ:CNX","Vertical Peak Holdings Inc (New Sub Voting)",0.005,,959457.39,,-26.22,
"GOH:CNX","GoldHaven Resources Corp",0.075,0.22,953118.53,,,
"XONE:CNX","X1 Entertainment Group Inc",0.02,,951549.82,,,
"BLGV:CNX","Belgravia Hartford Capital Inc",0.02,,924666.66,,-36.35,
"XCX:CNX","Greenrise Global Brands Inc",0.025,,922975.98,,,
"PUSH:CNX","Pushfor Tech Inc",0.075,,915824.25,,,
"NPT:CNX","Plaintree Systems Inc.",0.07,,904767.71,,5.88,
"NATN:CNX","Nation Gold Corp",0.055,,898145.6,,,
"XIGM:CNX","Xigem Technologies Corporation",0.03,0.27,889475.34,,,
"CRVC:CNX","Cross River Ventures Corp",0.01,,886202.01,,,
"MJ:CNX","Maven Brands Inc",0.025,,878521.65,,-72.08,
"AXCP:CNX","Axcap Ventures Inc",0.04,,872449.64,,-100,
"PM:CNX","Pampa Metals Corporation",0.02,,950687.22,,,
"PEK:CNX","Peak Minerals Ltd",0.06,,859800.06,,,
"HRK:CNX","Highrock Resources Ltd",0.065,,858325.07,,,
"GNOM:CNX","Gnomestar Craft Inc",0.01,,854108.04,,,
"GSL:CNX","Green Scientific Labs Holdings Inc (Sub Voting)",0.055,,848623.71,,,
"MOLT:CNX","Molten Metals Corp",0.045,,761142.96,,,
"CAPR:CNX","Caprock Mining Corp",0.015,,625087.5,,,
"CRC:CNX","Canter Resources Corp",0.07,,831040,,,
"BG:CNX","Big Gold Inc",0.04,,948751.96,,,
"PPK:CNX","Prospect Park Capital Corp",0.01,,827970.7,,35.72,
"ADPT:CNX","Adaptogenics Health Corp",0.05,,819885.05,,,
"SAND:CNX","Silver Sands Resources Corp",0.01,,803767.11,,,
"PLAY:CNX","Playground Ventures Inc",0.01,,802377.85,,,
"KVM:CNX","Kingsview Minerals Ltd",0.02,,786642.24,,,
"BZAM.WB:CNX","BZAM Ltd Warrants (10/12/2025)",0.005,,785689.18,,76.25,
"BZAM.WA:CNX","BZAM Ltd Warrants(23/10/2025)",0.005,,785689.18,,76.25,
"BZAM.WR:CNX","BZAM Ltd Warrants (12/06/2024)",0.005,,785689.18,,76.25,
"EWG.WT:CNX","Eat Well Investment Group Inc Warrants (23/12/2024)",0.005,,782845.23,,,
"ALMA:CNX","Alma Gold Inc",0.05,,651978.15,,,
"TRIP.WT.A:CNX","Red Light Holland Corp Warrants (24/02/2024)",0.01,,780206.41,,,
"BVOF.B:CNX","B.E.S.T. Venture Opportunities Fund Inc - Class A, Series II",1.01,,778411.04,,,
"BRCH:CNX","Birchtree Investments Ltd",0.01,,775155,,,
"AFI:CNX","Affinor Growers Inc",0.035,,775122.78,,-100,
"JOLT:CNX","Jolt Health Inc",0.01,,772897.24,,,
"TTT:CNX","TruTrace Technologies Inc",0.005,,763468.91,,-44,
"SOLV:CNX","SoLVBL Solutions Inc",0.005,,762665.32,,,
"TEVO:CNX","Tevano Systems Holdings Inc",0.03,,900974.76,,,
"TAI:CNX","Talmora Diamond Inc",0.01,,741828.01,,,
"SHOW:CNX","Showcase Minerals Inc",0.4,,740000,,,
"CMP:CNX","CMP Mining Inc",0.05,,739400,,,
"GTOO:CNX","G2 Energy Corp",0.04,,733583.2,,-9.66,
"IONC:CNX","Ionic Brands Corp",0.005,,727577.93,,,
"METL:CNX","Metalite Resources Inc",0.005,,725295.75,,,
"MPXI:CNX","MPX International Corp",0.005,,719305.65,,133.2,
"WO:CNX","West Oak Gold Corp",0.055,,719125.06,,,
"ACA:CNX","Axiom Capital Advisors Inc.",0.11,0,711931,,,
"VEXT.WT.A:CNX","Vext Science Inc. Warrants (08/02/2024)",0.01,1.64,708554.67,,16.63,62.73
"JJJ.X:CNX","37 Capital Inc",0.06,,704756.82,,,
"MJRX:CNX","Global Health Clinics Ltd",0.075,,704410.35,,-32.57,
"NSJ:CNX","NSJ Gold Corp",0.03,,703770,,,
"TANA:CNX","Tana Resources Corp",0.05,,702250,,,
"NNL.U:CNX","Nova Net Lease REIT Units",0.1,0,697549.3,27,,
"MGW:CNX","Maple Leaf Green World Inc",0.025,,686934.85,,,
"CARM:CNX","Carmanah Minerals Corp",0.06,,685503.06,,,
"SPFY:CNX","Spacefy Inc",0.015,,681879.12,,-47.4,
"MOJO:CNX","Mojave Brands Inc",0.065,4.61,665757.82,,-100,
